feature,importance
account_age_days,-0.19905042770265605
top_10_pct_collection_size,-0.1852746407764458
collection_frequency_per_month,-0.17466601161880202
low_engagement_flag,0.15908553011852064
country_France,-0.15092652389927722
primary_media_type_gif,0.11871020341746367
referral_source_farcaster,0.11537996743083047
max_single_collection,0.11128489062996402
is_whale,-0.10483971060734587
linked_farcaster,0.10332159505096407
primary_chain_Arbitrum,0.09947995350466743
days_active,0.09087343897487252
country_Japan,0.08532382654375416
days_since_last_collection,0.07563347484801125
unique_file_types,-0.06344550149527989
collection_size_p50,0.05991645875004187
primary_chain_Ethereum,0.05134374910301198
total_social_links,0.04147984295518109
country_UK,0.027893623821472046
country_Other,-0.02511828632371744
collection_gaps_count_30d,-0.024563888992608307
no_social_links_risk,-0.021046930847222565
early_adopter_score,0.009802755547130117
referral_source_other,-0.005757671702077306
primary_chain_Zora,-0.0014407069784693732
